Timestamp,Height of the Plant(cm),Plant Temperature(°C),Humidity(RH),Pressure(Pa)
2024-03-01 0:10,10,30.12,64.35,100218.29
2024-03-01 5:12,10,31.57,67.8,100209.74
2024-03-01 10:01,10,32.48,72.36,100203.85
2024-03-01 15:08,10,30.93,68.54,100221.62
2024-03-01 20:10,10,33.27,73.81,100212.33
2024-03-02 1:11,10,31.18,69.92,100196.82
2024-03-02 6:00,10,32.54,74.21,100206.11
2024-03-02 11:08,10,30.76,66.43,100211.84
2024-03-02 16:09,10,33.12,78.29,100223.59
2024-03-02 21:11,10,31.29,71.05,100217.24
2024-03-03 2:13,10,32.09,70.16,100208.47
2024-03-03 7:01,11,30.81,67.35,100210.53
2024-03-03 12:08,11,31.95,76.81,100221.13
2024-03-03 17:10,10,32.75,78.46,100215.45
2024-03-03 22:11,11,30.54,64.59,100204.33
2024-03-04 3:13,10,33.04,80.12,100207.89
2024-03-04 8:01,11,32.11,73.85,100217.51
2024-03-04 13:08,11,31.64,77.1,100216.18
2024-03-04 18:10,11,32.36,74.5,100211.75
2024-03-04 23:12,11,30.71,68.12,100219.85
2024-03-05 4:13,10,33.29,75.9,100204.48
2024-03-05 9:01,10,31.2,62.43,100212.94
2024-03-05 14:09,11,32.82,79.16,100220.62
2024-03-05 19:10,11,31.48,66.78,100207.93
2024-03-06 0:12,11,30.22,64.95,100215.44
2024-03-06 5:00,11,32.99,80.24,100217.85
2024-03-06 10:07,11,31.34,70.89,100209.21
2024-03-06 15:09,11,30.56,61.77,100215.68
2024-03-06 20:11,10,33.21,72.61,100222.16
2024-03-07 1:12,11,32.02,78.38,100205.49
2024-03-07 6:00,11,30.74,64.92,100210.75
2024-03-07 11:08,11,32.58,76.01,100206.38
2024-03-07 16:09,11,31.17,69.47,100214.71
2024-03-07 21:11,11,33.08,75.53,100215.52
2024-03-08 2:13,11,32.26,74.18,100211.16
2024-03-08 7:00,11,30.9,67.83,100220.02
2024-03-08 12:08,11,32.4,70.59,100213.86
2024-03-08 17:10,11,30.16,62.67,100213.72
2024-03-08 22:11,11,33.05,80.67,100209.65
2024-03-09 3:13,11,31.25,71.54,100217.14
2024-03-09 8:01,11,32.48,74.22,100206.77
2024-03-09 13:08,11,30.88,66.94,100217.33
2024-03-09 18:10,12,32.68,75.78,100215.09
2024-03-09 23:12,11,31.9,72.35,100206.62
2024-03-10 4:13,12,30.43,64.87,100211.93
2024-03-10 9:01,12,32.55,70.03,100208.16
2024-03-10 14:09,11,31.62,67.44,100211.78
2024-03-10 19:10,12,30.83,64.95,100206.79
2024-03-11 0:12,12,32.22,75.04,100217.53
2024-03-11 5:00,12,31.47,67.19,100207.44
2024-03-11 10:07,12,33.19,77.61,100210.98
2024-03-11 15:09,11,32.12,73.84,100220.54
2024-03-11 20:11,12,31.05,65.93,100212.21
2024-03-12 1:12,12,30.92,62.83,100210.68
2024-03-12 6:00,12,33.04,78.95,100212.7
2024-03-12 11:08,11,31.59,71.22,100216.54
2024-03-12 16:10,12,32.8,76.47,100211.9
2024-03-12 21:12,12,30.78,67.51,100206.81
2024-03-13 2:14,12,31.97,68.21,100218.26
2024-03-13 7:01,12,33.01,73.69,100210.98
2024-03-13 12:09,12,30.66,64.48,100215.6
2024-03-13 17:11,12,32.46,78.78,100206.81
2024-03-13 22:12,12,31.28,69.35,100211.54
2024-03-14 3:14,12,30.91,62.11,100212.22
2024-03-14 8:02,12,33.16,79.27,100217.96
2024-03-14 13:09,12,31.72,72.66,100208.11
2024-03-14 18:11,12,32.88,77.02,100220.21
2024-03-14 23:13,12,30.24,60.78,100213.62
2024-03-15 4:14,12,31.55,64.47,100205.78
2024-03-15 9:02,12,32.37,76.23,100211.47
2024-03-15 14:09,12,30.85,67.19,100210.22
