Timestamp,Water Temperature(°C),EC Values(uS/cm,TDS(mg/L),Turbidity(NTU),Water pH
2024-03-01 0:10,29.48,318.75,204,12,6.8
2024-03-01 5:12,28.65,321.875,206,10,7.2
2024-03-01 10:01,29.76,323.4375,207,12,7
2024-03-01 15:08,28.87,325,208,13,6.5
2024-03-01 20:10,29.39,328.125,210,12,7.4
2024-03-02 1:11,28.79,329.6875,211,14,6.9
2024-03-02 6:00,29.63,331.25,212,13,7.1
2024-03-02 11:08,28.56,332.8125,213,15,6.7
2024-03-02 16:09,29.52,334.375,214,16,7.3
2024-03-02 21:11,28.91,335.9375,215,15,6.6
2024-03-03 2:13,29.3,337.5,216,14,7.2
2024-03-03 7:01,28.84,339.0625,217,15,6.8
2024-03-03 12:08,29.73,340.625,218,16,7
2024-03-03 17:10,28.68,342.1875,219,17,6.9
2024-03-03 22:11,29.43,343.75,220,15,7.1
2024-03-04 3:13,28.77,345.3125,221,18,6.7
2024-03-04 8:01,29.64,346.875,222,17,7.3
2024-03-04 13:08,31.25,348.4375,223,15,6.8
2024-03-04 18:10,31,350,224,18,7.2
2024-03-04 23:12,28.96,351.5625,225,19,6.9
2024-03-05 4:13,29.47,353.125,226,18,7.1
2024-03-05 9:01,30,354.6875,227,17,6.7
2024-03-05 14:09,29.53,356.25,228,19,7.3
2024-03-05 19:10,28.82,357.8125,229,18,6.8
2024-03-06 0:12,29.78,359.375,230,20,7.2
2024-03-06 5:00,28.7,360.9375,231,19,7
2024-03-06 10:07,29.68,362.5,232,18,6.5
2024-03-06 15:09,28.55,364.0625,233,19,7.4
2024-03-06 20:11,29.61,365.625,234,20,6.9
2024-03-07 1:12,28.91,367.1875,235,13,7.1
2024-03-07 6:00,29.34,368.75,236,12,6.7
2024-03-07 11:08,28.97,370.3125,237,14,7.3
2024-03-07 16:09,29.77,371.875,238,13,6.8
2024-03-07 21:11,28.85,373.4375,239,12,7.2
2024-03-08 2:13,29.45,375,240,14,6.9
2024-03-08 7:00,28.74,376.5625,241,13,7.1
2024-03-08 12:08,29.72,378.125,242,12,6.7
2024-03-08 17:10,28.81,379.6875,243,14,7.3
2024-03-08 22:11,29.67,381.25,244,15,6.8
2024-03-09 3:13,28.63,382.8125,245,14,7.2
2024-03-09 8:01,29.58,384.375,246,13,7
2024-03-09 13:08,28.72,385.9375,247,15,6.5
2024-03-09 18:10,29.53,387.5,248,14,7.4
2024-03-09 23:12,28.6,389.0625,249,13,6.9
2024-03-10 4:13,29.4,390.625,250,15,7.1
2024-03-10 9:01,28.77,385.9375,247,14,6.7
2024-03-10 14:09,29.67,381.25,244,16,7.3
2024-03-10 19:10,28.87,378.125,242,15,6.8
2024-03-11 0:12,30.22,375,240,14,7.2
2024-03-11 5:00,28.83,371.875,238,16,6.9
2024-03-11 10:07,29.76,367.1875,235,17,7.1
2024-03-11 15:09,28.66,364.0625,233,16,6.7
2024-03-11 20:11,30.12,360.9375,231,15,7.3
2024-03-12 1:12,28.72,357.8125,229,17,6.8
2024-03-12 6:00,29.57,353.125,226,16,7.2
2024-03-12 11:08,30.19,350,224,15,7
2024-03-12 16:10,29.7,346.875,222,17,6.5
2024-03-12 21:12,28.92,343.75,220,18,7.4
2024-03-13 2:14,29.66,340.625,218,17,6.9
2024-03-13 7:01,28.79,339.0625,217,16,7.1
2024-03-13 12:09,29.69,337.5,216,15,6.7
2024-03-13 17:11,28.88,334.375,214,16,7.3
2024-03-13 22:12,29.75,332.8125,213,18,6.8
2024-03-14 3:14,28.8,331.25,212,17,7.2
2024-03-14 8:02,29.62,329.6875,211,19,6.9
2024-03-14 13:09,28.93,326.5625,209,20,7.1
2024-03-14 18:11,29.58,323.4375,207,19,6.7
2024-03-14 23:13,28.64,321.875,206,18,7.3
2024-03-15 4:14,29.74,318.75,204,17,6.8
2024-03-15 9:02,28.69,317.1875,203,18,7.2
2024-03-15 14:09,29.83,315.625,202,19,7
2024-03-15 19:11,28.56,339.0625,217,18,6.5
2024-03-16 0:13,29.5,342.1875,219,17,7.4
2024-03-16 5:01,28.91,345.3125,221,19,6.9
2024-03-16 10:08,29.42,348.4375,223,18,7.1
2024-03-16 15:10,28.86,351.5625,225,17,6.7
2024-03-16 20:12,27.99,354.6875,227,19,7.3
2024-03-17 1:13,28.81,357.8125,229,18,6.8
2024-03-17 6:01,29.61,360.9375,231,17,7.2
2024-03-17 11:08,31.2,364.0625,233,19,6.9
2024-03-17 16:10,31.1,367.1875,235,18,7.1
2024-03-17 21:12,28.93,370.3125,237,17,6.7
2024-03-18 2:14,30.82,373.4375,239,19,7.3
2024-03-18 7:01,28.77,376.5625,241,18,6.8
2024-03-18 12:09,29.68,379.6875,243,17,7.2
2024-03-18 17:11,28.62,382.8125,245,19,7
2024-03-18 22:12,29.73,385.9375,247,18,6.5
2024-03-19 3:14,28.85,389.0625,249,17,7.4
2024-03-19 8:02,29.57,387.5,248,19,6.9
2024-03-19 13:09,28.88,384.375,246,18,7.1
2024-03-19 18:11,30.11,381.25,244,17,6.7
2024-03-19 23:13,28.69,378.125,242,19,7.3
2024-03-20 4:14,29.62,375,240,18,6.8
2024-03-20 9:02,28.78,371.875,238,17,7.2
2024-03-20 14:09,31.56,368.75,236,19,6.9
2024-03-20 19:11,28.65,365.625,234,18,7.1
2024-03-21 0:13,29.75,362.5,232,17,6.7
2024-03-21 5:01,30.98,359.375,230,19,7.3
2024-03-21 10:08,29.81,356.25,228,18,6.8
2024-03-21 15:10,30.42,353.125,226,17,7.2
2024-03-21 20:12,31.28,350,224,19,7
2024-03-21 15:10,28.94,376.5625,241,18,6.8
2024-03-21 20:12,29.57,321.875,206,17,7.2
2024-03-22 1:13,28.76,381.25,244,19,7.3
2024-03-22 6:01,29.65,382.8125,245,18,6.9
2024-03-22 11:08,28.72,331.25,212,17,7.1
2024-03-22 16:10,29.72,356.25,228,19,7.2
2024-03-22 21:12,28.68,359.375,230,18,7
2024-03-23 2:14,29.54,362.5,232,19,6.7
2024-03-23 7:01,28.83,367.1875,235,17,7.3
2024-03-23 12:09,29.67,370.3125,237,18,6.8
2024-03-23 17:11,28.79,375,240,19,7.2
2024-03-23 22:12,29.63,379.6875,243,18,7.1
2024-03-24 3:14,28.71,382.8125,245,17,6.9
2024-03-24 8:02,29.49,387.5,248,19,7
2024-03-24 13:09,28.84,390.625,250,18,7.1
2024-03-24 18:11,29.6,387.5,248,17,6.7
2024-03-24 23:13,28.86,385.9375,247,18,7.3
2024-03-25 4:14,29.99,382.8125,245,19,6.8
2024-03-25 9:02,31.02,379.6875,243,17,7.2
2024-03-25 14:09,30.87,378.125,242,18,6.9
2024-03-25 19:11,31.4,375,240,19,7
2024-03-26 0:13,29.64,371.875,238,18,6.7
2024-03-26 5:01,28.87,368.75,236,17,7.3
2024-03-26 10:08,29.5,367.1875,235,18,6.8
2024-03-26 15:10,28.71,364.0625,233,19,7.2
2024-03-26 20:12,29.72,360.9375,231,17,7.1
2024-03-27 1:13,28.77,359.375,230,18,6.9
2024-03-27 6:01,29.81,356.25,228,19,7
2024-03-27 11:08,28.89,353.125,226,18,7.1
2024-03-27 16:10,29.63,351.5625,225,17,6.7
2024-03-27 21:12,28.8,348.4375,223,18,7.3
2024-03-28 2:14,29.66,345.3125,221,19,6.8
2024-03-28 7:01,28.92,343.75,220,17,7.2
2024-03-28 12:09,29.56,340.625,218,18,6.9
2024-03-28 17:11,28.85,339.0625,217,19,7
2024-03-28 22:12,29.72,335.9375,215,18,6.7
2024-03-29 3:14,28.94,332.8125,213,17,7.3
2024-03-29 8:02,29.8,331.25,212,18,6.8
2024-03-29 13:09,27.9,328.125,210,19,7.2
2024-03-29 18:11,31.05,326.5625,209,17,7
2024-03-29 23:13,30.51,323.4375,207,18,6.9
2024-03-30 4:14,31.17,321.875,206,19,7.1
2024-03-30 9:02,30.63,318.75,204,18,6.8
2024-03-30 14:09,29.54,315.625,202,17,7.2
2024-03-30 19:11,28.88,314.0625,201,18,6.9
2024-03-31 0:13,29.59,312.5,200,19,7
2024-03-31 5:01,28.74,315.625,202,20,6.9
2024-03-31 10:08,29.64,320.3125,205,21,7.3
2024-03-31 15:10,28.92,323.4375,207,22,7.2
2024-03-31 20:12,29.74,328.125,210,23,7.1
2024-04-01 1:13,28.82,331.25,212,24,6.8
2024-04-01 6:01,29.69,335.9375,215,25,7
2024-04-01 11:08,28.78,339.0625,217,22,7.3
2024-04-01 16:10,29.75,343.75,220,21,6.7
2024-04-01 21:12,28.86,348.4375,223,20,7.1
2024-04-02 2:14,29.77,351.5625,225,19,7
2024-04-02 7:01,28.92,356.25,228,18,7.3
2024-04-02 12:09,29.65,359.375,230,17,6.9
2024-04-02 17:11,28.79,362.5,232,16,7.2
2024-04-02 22:12,29.72,367.1875,235,15,6.7
2024-04-03 3:14,28.87,370.3125,237,14,7.1
2024-04-03 8:02,30.52,375,240,13,7
2024-04-03 13:09,28.81,379.6875,243,12,6.8
2024-04-03 18:11,31.06,382.8125,245,11,7.2
2024-04-03 23:13,28.74,387.5,248,14,6.9
2024-04-04 4:14,29.64,390.625,250,12,7
2024-04-04 9:02,28.92,387.5,248,16,7.3
2024-04-04 14:09,29.72,385.9375,247,17,6.7
2024-04-04 19:11,28.8,382.8125,245,12,7.1
2024-04-05 0:13,29.81,379.6875,243,13,7
2024-04-05 5:01,28.89,378.125,242,12,7.2
2024-04-05 10:08,29.5,375,240,18,6.8
2024-04-05 15:10,28.72,371.875,238,12,7.1
2024-04-05 20:12,29.67,370.3125,237,13,6.9
2024-04-06 1:13,28.88,367.1875,235,13,7
2024-04-06 6:01,29.78,364.0625,233,12,7.3
2024-04-06 11:08,28.83,362.5,232,11,7.1
2024-04-06 16:10,29.53,359.375,230,14,6.7
2024-04-06 21:12,28.75,356.25,228,17,7.2
2024-04-07 2:14,29.79,354.6875,227,10,7
2024-04-07 7:01,28.91,351.5625,225,12,6.8
2024-04-07 12:09,29.66,348.4375,223,14,7.3
2024-04-07 17:11,28.8,346.875,222,16,7
2024-04-07 22:12,29.71,343.75,220,18,7.1
2024-04-08 3:14,28.86,340.625,218,20,6.9
2024-04-08 8:02,29.75,339.0625,217,22,7.2
2024-04-08 13:09,28.92,335.9375,215,24,6.7
2024-04-08 18:11,29.59,332.8125,213,21,7
2024-04-08 23:13,28.74,331.25,212,19,7.1
2024-04-09 4:14,29.67,328.125,210,17,6.9
2024-04-09 9:02,28.89,326.5625,209,15,7.2
2024-04-09 14:09,29.73,323.4375,207,13,7.3
2024-04-09 19:11,28.77,320.3125,205,11,7
2024-04-10 0:13,29.82,318.75,204,19,7.1
2024-04-10 5:01,28.84,315.625,202,17,6.8
2024-04-10 10:08,29.66,312.5,200,15,7
2024-04-10 15:10,28.73,314.0625,201,11,7.2
2024-04-10 20:12,29.74,317.1875,203,13,6.9
2024-04-11 1:13,28.88,320.3125,205,10,7.3
2024-04-11 6:01,31.08,323.4375,207,12,7.1
2024-04-11 11:08,30.74,328.125,210,15,6.7
2024-04-11 16:10,31.26,331.25,212,12,7
2024-04-11 21:12,30.66,335.9375,215,15,7.2
2024-04-12 2:14,31.19,339.0625,217,10,7.3
2024-04-12 7:01,28.75,343.75,220,12,7
2024-04-12 12:09,29.7,346.875,222,14,6.9
2024-04-12 17:11,28.8,351.5625,225,16,7.1
2024-04-12 22:12,29.56,354.6875,227,18,7.2
2024-04-13 3:14,28.94,359.375,230,20,7
2024-04-13 8:02,29.77,362.5,232,22,6.7
2024-04-13 13:09,28.83,367.1875,235,24,7.1
2024-04-13 18:11,29.62,370.3125,237,23,7.3
2024-04-13 23:13,28.79,375,240,21,6.9
2024-04-14 4:14,29.69,378.125,242,19,7
2024-04-14 9:02,28.86,382.8125,245,17,6.8
2024-04-14 14:09,29.51,385.9375,247,15,7.2
2024-04-14 19:11,28.73,390.625,250,13,7
2024-04-15 0:13,29.7,387.5,248,11,7.3
2024-04-15 5:01,31.33,385.9375,247,19,7.1
2024-04-15 10:08,30.78,382.8125,245,17,6.7
2024-04-15 15:10,31.21,379.6875,243,15,7
2024-04-15 20:12,29.6,378.125,242,13,7.2
2024-04-16 1:13,28.78,375,240,11,6.9
2024-04-16 6:01,29.63,371.875,238,10,7
2024-04-16 11:08,28.81,370.3125,237,12,7.3
2024-04-16 16:10,29.72,367.1875,235,14,7.1
2024-04-16 21:12,28.94,364.0625,233,16,6.7
2024-04-17 2:14,29.56,362.5,232,18,7
2024-04-17 7:01,28.77,359.375,230,10,7.2
2024-04-17 12:09,29.75,356.25,228,12,6.9
2024-04-17 17:11,28.83,354.6875,227,14,7
2024-04-17 22:12,29.69,351.5625,225,16,7.3
2024-04-18 3:14,28.8,348.4375,223,18,7.1
2024-04-18 8:02,31.05,346.875,222,20,6.7
2024-04-18 13:09,30.51,343.75,220,22,7
2024-04-18 18:11,29.66,340.625,218,24,7.2
2024-04-18 23:13,31.23,339.0625,217,23,6.9
2024-04-19 4:14,29.57,335.9375,215,21,7
2024-04-19 9:02,28.75,332.8125,213,19,7.3
2024-04-19 14:09,29.73,331.25,212,17,6.8
2024-04-19 19:11,28.83,328.125,210,15,7
2024-04-20 0:13,29.62,326.5625,209,13,7.1
2024-04-20 5:01,28.86,323.4375,207,11,7.2
2024-04-20 10:08,31.18,320.3125,205,19,6.9
2024-04-20 15:10,30.86,318.75,204,17,7.3
2024-04-20 20:12,30.45,315.625,202,15,7
2024-04-21 1:13,30.67,312.5,200,13,6.7
2024-04-21 6:01,31.33,317.1875,203,11,7.2
2024-04-21 11:08,30.78,320.3125,205,10,7
2024-04-21 16:10,31.21,325,208,14,7.3
2024-04-21 21:12,30.92,328.125,210,18,7.1
2024-04-22 2:14,29.65,332.8125,213,18,6.9
2024-04-22 7:01,28.71,335.9375,215,11,7
2024-04-22 12:09,29.59,340.625,218,10,6.7
2024-04-22 17:11,28.8,343.75,220,12,7.2
2024-04-22 22:12,31.06,348.4375,223,14,6.8
2024-04-23 3:14,28.89,351.5625,225,16,7
2024-04-23 8:02,29.77,356.25,228,18,7.3
2024-04-23 13:09,28.83,359.375,230,20,7.1
2024-04-23 18:11,29.68,364.0625,233,22,7
2024-04-23 23:13,28.82,367.1875,235,24,6.7
2024-04-24 4:14,29.6,370.3125,237,23,7
2024-04-24 9:02,28.85,375,240,21,6.8
2024-04-24 14:09,29.75,378.125,242,19,7.3
2024-04-24 19:11,28.91,382.8125,245,17,7.1
2024-04-25 0:13,29.71,385.9375,247,15,7.2
2024-04-25 5:01,28.87,390.625,250,13,6.9
2024-04-25 10:08,29.64,387.5,248,11,7
2024-04-25 15:10,28.82,385.9375,247,16,6.7
2024-04-25 20:12,30.99,382.8125,245,15,7.2
2024-04-26 1:13,31.08,379.6875,243,15,7.1
2024-04-26 6:01,30.74,378.125,242,11,6.9
2024-04-26 11:08,28.79,375,240,13,7
2024-04-26 16:10,30.01,371.875,238,10,7.3
2024-04-26 21:12,28.84,370.3125,237,12,7.1
2024-04-27 2:14,29.57,367.1875,235,14,7
2024-04-27 7:01,28.91,364.0625,233,16,6.7
2024-04-27 12:09,29.69,362.5,232,12,7.2
2024-04-27 17:11,28.75,359.375,230,10,7.1
2024-04-27 22:12,29.72,356.25,228,12,6.9
2024-04-28 3:14,28.8,354.6875,227,14,7
2024-04-28 8:02,29.64,351.5625,225,16,7.3
2024-04-28 13:09,28.77,348.4375,223,18,7
2024-04-28 18:11,29.81,346.875,222,20,7.2
2024-04-28 23:13,28.86,343.75,220,22,7.1
2024-04-29 4:14,29.6,340.625,218,24,6.7
2024-04-29 9:02,28.92,339.0625,217,23,7
2024-04-29 14:09,29.75,335.9375,215,21,6.9
2024-04-29 19:11,28.84,332.8125,213,19,7.2
2024-04-30 0:13,29.67,331.25,212,17,7
2024-04-30 5:01,28.79,328.125,210,15,6.8
2024-04-30 10:08,29.58,325,208,13,7.3
2024-04-30 15:10,28.93,323.4375,207,11,7
2024-04-30 20:12,29.8,320.3125,205,19,7.1
2024-05-01 1:13,28.75,317.1875,203,14,6.7
2024-05-01 6:01,29.69,315.625,202,15,7
2024-05-01 11:08,28.87,312.5,200,18,7.2
2024-05-01 16:10,29.54,317.1875,203,12,7
2024-05-01 21:12,28.84,320.3125,205,21,6.9
2024-05-02 2:14,29.73,367.1875,235,14,7
2024-05-02 7:01,28.92,362.5,232,16,6.8
2024-05-02 12:09,29.76,359.375,230,12,7.2
2024-05-02 17:11,28.89,356.25,228,10,7.1
2024-05-02 22:12,29.61,354.6875,227,12,6.9
2024-05-03 3:14,28.75,351.5625,225,14,7
2024-05-03 8:02,29.65,348.4375,223,16,7.3
2024-05-03 13:09,28.87,346.875,222,18,7
2024-05-03 18:11,29.68,343.75,220,20,7.2
2024-05-03 23:13,28.81,340.625,218,22,7.1
2024-05-04 4:14,29.74,337.5,216,24,6.8
2024-05-04 9:02,28.93,335.9375,215,23,7
