Timestamp,Water Temperature(°C),EC Values(uS/cm,TDS(mg/L),Turbidity(NTU),Water pH
2024-06-01 0:15,29.69,343.75,220,12,7.2
2024-06-01 5:17,28.85,348.4375,223,18,7
2024-06-01 10:19,29.8,350,224,17,7.1
2024-06-01 15:21,28.94,345.3125,221,19,7.3
2024-06-01 20:23,29.58,346.875,222,22,6.9
2024-06-02 1:25,28.72,343.75,220,21,7
2024-06-02 6:27,29.75,351.5625,225,20,7.2
2024-06-02 11:29,28.87,354.6875,227,18,7.4
2024-06-02 16:31,29.7,350,224,23,7.1
2024-06-02 21:33,28.8,345.3125,221,20,7
2024-06-03 2:35,29.66,348.4375,223,19,7.3
2024-06-03 7:37,28.91,353.125,226,15,7.1
2024-06-03 12:39,29.61,343.75,220,17,7.2
2024-06-03 17:41,28.84,350,224,21,7.3
2024-06-03 22:43,29.79,348.4375,223,16,7
2024-06-04 3:45,28.76,346.875,222,18,6.7
2024-06-04 8:47,29.68,345.3125,221,22,6.5
2024-06-04 13:49,28.85,350,224,19,7.4
2024-06-04 18:51,29.72,343.75,220,20,7.4
2024-06-04 23:53,28.83,351.5625,225,17,7.1
2024-06-05 4:55,29.65,348.4375,223,16,7
2024-06-05 9:57,28.91,346.875,222,18,7.3
2024-06-05 14:59,29.77,350,224,22,7.2
2024-06-05 20:01,28.78,351.5625,225,21,7.1
2024-06-06 1:03,29.6,345.3125,221,19,7
2024-06-06 6:05,28.85,350,224,20,7.3
2024-06-06 11:07,29.74,346.875,222,23,7.1
2024-06-06 16:09,28.9,348.4375,223,18,7.2
2024-06-06 21:11,29.68,343.75,220,21,7.4
2024-06-07 2:13,28.77,353.125,226,22,7
2024-06-07 7:15,31.32,351.5625,225,19,7.3
2024-06-07 12:17,30.71,350,224,20,7.1
2024-06-07 17:19,31.17,348.4375,223,22,7.2
2024-06-07 22:21,28.86,345.3125,221,23,7
2024-06-08 3:23,29.67,343.75,220,21,7.2
2024-06-08 8:25,30.63,350,224,24,7.3
2024-06-08 13:27,31.16,351.5625,225,20,7.1
2024-06-08 18:29,30.83,346.875,222,19,7.2
2024-06-08 23:31,29.63,345.3125,221,21,7
2024-06-09 4:33,28.78,350,224,22,7.3
2024-06-09 9:35,31.19,348.4375,223,20,7.1
2024-06-09 14:37,30.79,353.125,226,18,7.2
2024-06-09 19:39,31.28,346.875,222,23,7.4
2024-06-10 0:41,28.87,351.5625,225,21,7
2024-06-10 5:43,29.77,343.75,220,19,7.2
2024-06-10 10:45,28.8,348.4375,223,20,6.9
2024-06-10 15:47,30.04,350,224,22,6.9
2024-06-10 20:49,28.94,345.3125,221,24,6.5
2024-06-11 1:00,29.8,351.5625,225,19,6.6
2024-06-11 6:02,31.05,350,224,21,7.1
2024-06-11 11:04,30.72,348.4375,223,22,7.2
2024-06-11 16:06,31.24,346.875,222,24,6.6
2024-06-11 21:08,29.74,343.75,220,20,7.1
2024-06-12 2:10,28.91,353.125,226,23,7.3
2024-06-12 7:12,31.22,351.5625,225,21,7
2024-06-12 12:14,30.77,348.4375,223,18,7.2
2024-06-12 17:16,31.13,350,224,22,7.1
2024-06-12 22:18,28.84,346.875,222,20,7.4
2024-06-13 3:20,29.66,343.75,220,23,7.2
2024-06-13 8:22,30.85,351.5625,225,19,7.1
2024-06-13 13:24,29.72,353.125,226,21,7
2024-06-13 18:26,28.86,350,224,20,7.3
2024-06-13 23:28,29.58,348.4375,223,22,7.2
2024-06-14 4:30,28.9,345.3125,221,24,7.1
2024-06-14 9:32,29.63,343.75,220,21,7.4
2024-06-14 14:34,28.83,346.875,222,19,7.3
2024-06-14 19:36,29.75,350,224,23,7.2
2024-06-14 23:38,28.87,351.5625,225,22,7
2024-06-15 4:40,29.69,353.125,226,20,7.1
