Timestamp,Height of the Plant(cm),Plant Temperature(°C),Humidity(RH),Pressure(Pa)
2024-06-01 0:15,12,32.85,76.44,100212.89
2024-06-01 5:17,12,30.74,63.86,100214.11
2024-06-01 10:19,12,33.12,77.5,100213.36
2024-06-01 15:21,12,31.32,70.17,100208.56
2024-06-01 20:23,12,32.66,75.99,100217.77
2024-06-02 1:25,12,30.67,64.04,100207.88
2024-06-02 6:27,12,33.13,76.58,100212.13
2024-06-02 11:29,12,31.45,71.42,100211.33
2024-06-02 16:31,12,32.88,77.52,100217.14
2024-06-02 21:33,12,30.55,62.56,100210.36
2024-06-03 2:35,11,33.05,75.87,100209.95
2024-06-03 7:37,11,31.37,69.96,100213.27
2024-06-03 12:39,12,32.74,76.3,100217.06
2024-06-03 17:41,11,30.72,63.79,100214.57
2024-06-03 22:43,11,33.04,77.65,100208.92
2024-06-04 3:45,11,31.23,68.73,100209.73
2024-06-04 8:47,11,32.76,75.78,100212.96
2024-06-04 13:49,11,30.78,63.65,100213.78
2024-06-04 18:51,13,33.17,77.86,100212.25
2024-06-04 23:53,12,31.36,70.57,100210.88
2024-06-05 4:55,12,32.59,76.67,100214.73
2024-06-05 9:57,12,30.62,62.96,100213.96
2024-06-05 14:59,12,33.06,75.98,100208.32
2024-06-05 20:01,12,31.28,68.62,100215.17
2024-06-06 1:03,12,32.84,77.63,100210.61
2024-06-06 6:05,12,30.77,63.57,100209.71
2024-06-06 11:07,12,33.1,76.9,100212.87
2024-06-06 16:09,12,31.24,70.13,100217.84
2024-06-06 21:11,12,32.65,75.94,100207.92
2024-06-07 2:13,12,30.68,64.21,100208.27
2024-06-07 7:15,11,33.11,77.12,100210.68
2024-06-07 12:17,12,31.38,68.45,100217.27
2024-06-07 17:19,12,32.8,76.28,100208.34
2024-06-07 22:21,12,30.77,63.76,100214.64
2024-06-08 3:23,12,33.05,75.74,100208.85
2024-06-08 8:25,12,31.29,69.74,100213.22
2024-06-08 13:27,12,32.88,77.76,100214.04
2024-06-08 18:29,12,30.6,62.85,100209.14
2024-06-08 23:31,16,33.12,76.5,100212.53
2024-06-09 4:33,12,31.33,70.29,100208.29
2024-06-09 9:35,12,32.64,76.42,100215.13
2024-06-09 14:37,12,30.68,63.97,100212.77
2024-06-09 19:39,12,33.07,75.96,100217.22
2024-06-10 0:41,12,31.21,68.94,100211.85
2024-06-10 5:43,12,32.75,77.13,100209.84
2024-06-10 10:45,13,30.81,64.15,100213.57
2024-06-10 15:47,12,33.01,76.23,100208.35
2024-06-10 20:49,12,31.37,71.29,100211.34
2024-06-11 1:00,13,32.7,77.42,100210.22
2024-06-11 6:02,12,30.75,62.89,100209.97
2024-06-11 11:04,12,33,75.91,100210.4
2024-06-11 16:06,13,31.28,69.77,100214.56
2024-06-11 21:08,12,32.67,76.29,100208.81
2024-06-12 2:10,13,30.69,63.85,100214.36
2024-06-12 7:12,12,33.13,77.9,100212.24
2024-06-12 12:14,12,31.32,70.2,100217.62
2024-06-12 17:16,12,32.55,75.88,100212.47
2024-06-12 22:18,14,30.75,63.77,100211.26
2024-06-13 3:20,13,33.07,76.9,100210.11
2024-06-13 8:22,13,31.33,69.94,100215.17
2024-06-13 13:24,13,32.71,77.63,100215
2024-06-13 18:26,13,30.64,62.55,100208.88
2024-06-13 23:28,13,33.12,75.88,100210.82
2024-06-14 4:30,13,31.37,68.62,100215.01
2024-06-14 9:32,12,32.8,76.32,100214.36
2024-06-14 14:34,13,30.69,64.19,100207.58
2024-06-14 19:36,12,33.13,77.58,100214.84
2024-06-14 23:38,13,31.3,70.28,100208.63
2024-06-15 4:40,13,32.63,75.79,100213.23
2024-06-15 9:42,13,30.75,63.88,100212.2
2024-06-15 14:44,13,33.02,76.57,100212.38
2024-06-15 19:46,13,31.38,71.35,100213.59
2024-06-15 23:48,13,32.68,77.5,100209.62
2024-06-16 4:50,12,30.62,64.14,100213.01
2024-06-16 9:52,12,33.1,76.72,100214.72
2024-06-16 14:54,13,31.31,69.86,100214.37
2024-06-16 19:56,13,32.85,77.59,100209.83
2024-06-16 23:58,13,30.75,62.72,100209.36
2024-06-17 5:00,13,33.04,76.37,100211.36
2024-06-17 10:02,13,31.23,70.43,100214.82
2024-06-17 15:04,13,32.79,76.53,100215.38
2024-06-17 20:06,12,30.8,63.69,100213.66
2024-06-18 1:08,13,33.11,75.8,100211.54
2024-06-18 6:10,13,31.32,69.94,100215.66
2024-06-18 11:12,12,32.7,77.29,100215.72
2024-06-18 16:14,13,30.56,63.76,100213.62
2024-06-18 21:16,13,33.07,76.86,100210.42
2024-06-19 2:18,12,31.34,71.12,100209.77
2024-06-19 7:20,12,32.84,76.29,100217.01
2024-06-19 12:22,13,30.62,63.95,100208.34
2024-06-19 17:24,13,33.01,77.71,100214.53
2024-06-19 22:26,13,31.23,68.64,100208.92
